3,1,819.0,0.0,44.0,90.0,1,1,1.0
4,1,818.0,0.0,43.0,90.0,1,1,1.0
5,1,818.0,0.0,42.0,92.0,1,1,1.0
6,1,817.0,0.0,42.0,94.0,1,1,1.0
7,1,816.0,0.0,41.0,94.0,1,1,1.0
8,1,815.0,0.0,42.0,94.0,1,1,1.0
9,1,814.0,0.0,42.0,94.0,1,1,1.0
10,1,814.0,1.0,43.0,94.0,1,1,1.0
11,1,813.0,0.0,44.0,94.0,1,1,1.0
12,1,812.0,1.0,45.0,94.0,1,1,1.0
13,1,812.0,1.0,45.0,94.0,1,1,1.0
14,1,812.0,1.0,45.0,95.0,1,1,1.0
15,1,812.0,1.0,45.0,95.0,1,1,1.0
16,1,812.0,1.0,45.0,97.0,1,1,1.0
17,1,812.0,1.0,45.0,98.0,1,1,1.0
18,1,812.0,1.0,46.0,99.0,1,1,1.0
19,1,811.0,1.0,46.0,98.0,1,1,1.0
20,1,811.0,1.0,47.0,98.0,1,1,1.0
21,1,811.0,1.0,47.0,97.0,1,1,1.0
24,1,810.0,2.0,48.0,99.0,1,1,1.0
25,1,810.0,2.0,47.0,100.0,1,1,1.0
26,1,809.0,1.0,46.0,101.0,1,1,1.0
27,1,808.0,2.0,45.0,101.0,1,1,1.0
28,1,808.0,3.0,44.0,101.0,1,1,1.0
29,1,807.0,3.0,44.0,101.0,1,1,1.0
30,1,806.0,4.0,44.0,101.0,1,1,1.0
31,1,806.0,3.0,45.0,102.0,1,1,1.0
32,1,806.0,3.0,46.0,102.0,1,1,1.0
33,1,806.0,2.0,46.0,104.0,1,1,1.0
35,1,806.0,1.0,47.0,106.0,1,1,1.0
36,1,806.0,0.0,47.0,107.0,1,1,1.0
37,1,806.0,0.0,48.0,108.0,1,1,1.0
38,1,806.0,0.0,48.0,110.0,1,1,1.0
39,1,807.0,0.0,48.0,111.0,1,1,1.0
40,1,807.0,0.0,48.0,111.0,1,1,1.0
41,1,807.0,0.0,49.0,110.0,1,1,1.0
42,1,808.0,0.0,49.0,110.0,1,1,1.0
43,1,808.0,0.0,51.0,111.0,1,1,1.0
44,1,808.0,0.0,52.0,112.0,1,1,1.0
45,1,809.0,0.0,52.0,113.0,1,1,1.0
46,1,809.0,0.0,51.0,113.0,1,1,1.0
47,1,809.0,1.0,49.0,114.0,1,1,1.0
48,1,810.0,1.0,47.0,115.0,1,1,1.0
49,1,810.0,1.0,47.0,115.0,1,1,1.0
50,1,810.0,1.0,46.0,115.0,1,1,1.0
51,1,810.0,1.0,47.0,116.0,1,1,1.0
52,1,810.0,1.0,49.0,117.0,1,1,1.0
53,1,810.0,1.0,51.0,117.0,1,1,1.0
54,1,810.0,1.0,53.0,117.0,1,1,1.0
55,1,810.0,2.0,53.0,116.0,1,1,1.0
56,1,810.0,5.0,53.0,115.0,1,1,1.0
57,1,811.0,5.0,54.0,115.0,1,1,1.0
